=== Shared String - Reader-Writer Problem ===
Mode: reader_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:21.395] [R1] started
[22:42:21.395] [R1] read: "Initial string content."
[22:42:21.395] [R2] started
[22:42:21.395] [R3] started
[22:42:21.395] [R3] read: "Initial string content."
[22:42:21.395] [R2] read: "Initial string content."
[22:42:21.395] [R4] started
[22:42:21.395] [R4] read: "Initial string content."
[22:42:21.395] [W1] started
[22:42:21.395] [W1] wrote: "A"
[22:42:21.395] [R5] started
[22:42:21.395] [R5] read: "A"
[22:42:21.395] [W2] started
[22:42:21.395] [W2] wrote: "A"
[22:42:21.395] [W3] started
[22:42:21.395] [W3] wrote: "A"
[22:42:21.395] [W5] started
[22:42:21.395] [W5] wrote: "A"
[22:42:21.395] [W4] started
[22:42:21.395] [W4] wrote: "A"
[22:42:21.395] [W6] started
[22:42:21.395] [W6] wrote: "A"
[22:42:21.395] [W7] started
[22:42:21.395] [W7] wrote: "A"
[22:42:21.395] [W8] started
[22:42:21.395] [W8] wrote: "A"
[22:42:21.416] [R5] read: "A"
[22:42:21.421] [R2] read: "A"
[22:42:21.425] [W3] wrote: "Hello World!"
[22:42:21.437] [W7] wrote: "Hello World!"
[22:42:21.438] [R3] read: "Hello World!"
[22:42:21.442] [R1] read: "Hello World!"
[22:42:21.445] [W6] wrote: "Hello World!"
[22:42:21.454] [R4] read: "Hello World!"
[22:42:21.457] [W5] wrote: "Hello World!"
[22:42:21.457] [R5] read: "Hello World!"
[22:42:21.463] [R2] read: "Hello World!"
[22:42:21.463] [W8] wrote: "Hello World!"
[22:42:21.472] [R1] read: "Hello World!"
[22:42:21.480] [W2] wrote: "Hello World!"
[22:42:21.486] [W1] wrote: "Hello World!"
[22:42:21.486] [W4] wrote: "Hello World!"
[22:42:21.489] [R3] read: "Hello World!"
[22:42:21.493] [R5] read: "Hello World!"
[22:42:21.495] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.503] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:21.506] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.513] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.514] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:21.515] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:42:21.515] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.517] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.520] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.521] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:42:21.523] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.537] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:21.540] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:21.542] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:21.543] [W7] wrote: "Operating systems manage hardware and software resources."
[22:42:21.544] [R3] read: "Operating systems manage hardware and software resources."
[22:42:21.547] [R2] read: "Operating systems manage hardware and software resources."
[22:42:21.561] [W3] wrote: "Operating systems manage hardware and software resources."
[22:42:21.564] [R1] read: "Operating systems manage hardware and software resources."
[22:42:21.569] [R4] read: "Operating systems manage hardware and software resources."
[22:42:21.570] [W4] wrote: "Operating systems manage hardware and software resources."
[22:42:21.579] [W2] wrote: "Operating systems manage hardware and software resources."
[22:42:21.579] [R5] read: "Operating systems manage hardware and software resources."
[22:42:21.583] [W1] wrote: "Operating systems manage hardware and software resources."
[22:42:21.585] [R2] read: "Operating systems manage hardware and software resources."
[22:42:21.596] [R1] read: "Operating systems manage hardware and software resources."
[22:42:21.597] [W6] wrote: "Operating systems manage hardware and software resources."
[22:42:21.604] [R3] read: "Operating systems manage hardware and software resources."
[22:42:21.608] [R2] read: "Operating systems manage hardware and software resources."
[22:42:21.609] [W8] wrote: "Operating systems manage hardware and software resources."
[22:42:21.611] [W5] wrote: "Operating systems manage hardware and software resources."
[22:42:21.613] [R4] read: "Operating systems manage hardware and software resources."
[22:42:21.624] [W7] wrote: "X"
[22:42:21.636] [R4] read: "X"
[22:42:21.639] [R5] read: "X"
[22:42:21.640] [W4] wrote: "X"
[22:42:21.640] [W8] wrote: "X"
[22:42:21.646] [R1] read: "X"
[22:42:21.651] [W3] wrote: "X"
[22:42:21.651] [R2] read: "X"
[22:42:21.657] [R3] read: "X"
[22:42:21.658] [W6] wrote: "X"
