=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:37.553] [R1] started
[22:42:37.553] [R1] read: "Initial string content."
[22:42:37.553] [R2] started
[22:42:37.553] [R2] read: "Initial string content."
[22:42:37.553] [R3] started
[22:42:37.553] [R3] read: "Initial string content."
[22:42:37.553] [R4] started
[22:42:37.553] [R4] read: "Initial string content."
[22:42:37.553] [R5] started
[22:42:37.553] [R5] read: "Initial string content."
[22:42:37.553] [W1] started
[22:42:37.553] [W1] wrote: "A"
[22:42:37.553] [W2] started
[22:42:37.553] [W2] wrote: "A"
[22:42:37.553] [W3] started
[22:42:37.553] [W3] wrote: "A"
[22:42:37.553] [W4] started
[22:42:37.553] [W4] wrote: "A"
[22:42:37.553] [W5] started
[22:42:37.553] [W5] wrote: "A"
[22:42:37.553] [W6] started
[22:42:37.553] [W6] wrote: "A"
[22:42:37.553] [W7] started
[22:42:37.553] [W7] wrote: "A"
[22:42:37.553] [W8] started
[22:42:37.553] [W8] wrote: "A"
[22:42:37.573] [R5] read: "A"
[22:42:37.584] [R1] read: "A"
[22:42:37.588] [R3] read: "A"
[22:42:37.590] [W3] wrote: "Hello World!"
[22:42:37.595] [W7] wrote: "Hello World!"
[22:42:37.611] [R4] read: "Hello World!"
[22:42:37.613] [R2] read: "Hello World!"
[22:42:37.615] [R3] read: "Hello World!"
[22:42:37.617] [W5] wrote: "Hello World!"
[22:42:37.618] [W1] wrote: "Hello World!"
[22:42:37.619] [W6] wrote: "Hello World!"
[22:42:37.624] [W4] wrote: "Hello World!"
[22:42:37.625] [W8] wrote: "Hello World!"
[22:42:37.626] [R1] read: "Hello World!"
[22:42:37.629] [W2] wrote: "Hello World!"
[22:42:37.629] [R5] read: "Hello World!"
[22:42:37.631] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:37.652] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:37.655] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:37.660] [R3] read: "The quick brown fox jumps over the lazy dog."
