=== Shared String - Reader-Writer Problem ===
Mode: reader_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:13.298] [R1] started
[22:42:13.298] [R1] read: "Initial string content."
[22:42:13.298] [R3] started
[22:42:13.298] [R3] read: "Initial string content."
[22:42:13.298] [R4] started
[22:42:13.298] [R4] read: "Initial string content."
[22:42:13.298] [R5] started
[22:42:13.298] [R5] read: "Initial string content."
[22:42:13.298] [R2] started
[22:42:13.298] [R2] read: "Initial string content."
[22:42:13.298] [W1] started
[22:42:13.298] [W1] wrote: "A"
[22:42:13.298] [W4] started
[22:42:13.298] [W4] wrote: "A"
[22:42:13.298] [W3] started
[22:42:13.298] [W3] wrote: "A"
[22:42:13.298] [W2] started
[22:42:13.298] [W2] wrote: "A"
[22:42:13.298] [W7] started
[22:42:13.298] [W7] wrote: "A"
[22:42:13.298] [W6] started
[22:42:13.298] [W6] wrote: "A"
[22:42:13.298] [W8] started
[22:42:13.298] [W8] wrote: "A"
[22:42:13.298] [W5] started
[22:42:13.298] [W5] wrote: "A"
[22:42:13.327] [R5] read: "A"
[22:42:13.330] [W8] wrote: "Hello World!"
[22:42:13.332] [R4] read: "Hello World!"
[22:42:13.336] [W1] wrote: "Hello World!"
[22:42:13.338] [W2] wrote: "Hello World!"
[22:42:13.341] [R2] read: "Hello World!"
[22:42:13.356] [R3] read: "Hello World!"
[22:42:13.357] [R1] read: "Hello World!"
[22:42:13.360] [W3] wrote: "Hello World!"
[22:42:13.362] [W7] wrote: "Hello World!"
[22:42:13.364] [R2] read: "Hello World!"
[22:42:13.366] [W5] wrote: "Hello World!"
[22:42:13.376] [R5] read: "Hello World!"
[22:42:13.381] [R3] read: "Hello World!"
[22:42:13.387] [R2] read: "Hello World!"
[22:42:13.390] [R4] read: "Hello World!"
[22:42:13.395] [R1] read: "Hello World!"
[22:42:13.396] [W4] wrote: "Hello World!"
[22:42:13.398] [W6] wrote: "Hello World!"
[22:42:13.403] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:13.410] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:42:13.416] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:13.417] [R2] read: "The quick brown fox jumps over the lazy dog."
