=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[00:44:36.602] [R3] started
[00:44:36.602] [R3] read: "Initial string content."
[00:44:36.602] [R1] started
[00:44:36.602] [R1] read: "Initial string content."
[00:44:36.602] [R2] started
[00:44:36.602] [R2] read: "Initial string content."
[00:44:36.602] [W4] started
[00:44:36.602] [W4] wrote: "A"
[00:44:36.602] [R4] started
[00:44:36.602] [W1] started
[00:44:36.602] [W1] wrote: "A"
[00:44:36.602] [R4] read: "A"
[00:44:36.602] [W3] started
[00:44:36.602] [W3] wrote: "A"
[00:44:36.602] [W7] started
[00:44:36.602] [W7] wrote: "A"
[00:44:36.602] [W2] started
[00:44:36.602] [W2] wrote: "A"
[00:44:36.602] [W8] started
[00:44:36.602] [W8] wrote: "A"
[00:44:36.602] [W6] started
[00:44:36.602] [W6] wrote: "A"
[00:44:36.602] [W5] started
[00:44:36.602] [W5] wrote: "A"
[00:44:36.602] [R5] started
[00:44:36.602] [R5] read: "A"
[00:44:36.622] [R2] read: "A"
[00:44:36.626] [R5] read: "A"
[00:44:36.640] [R1] read: "A"
[00:44:36.642] [W8] wrote: "Hello World!"
[00:44:36.647] [R3] read: "Hello World!"
[00:44:36.647] [W3] wrote: "Hello World!"
[00:44:36.648] [W7] wrote: "Hello World!"
[00:44:36.654] [W1] wrote: "Hello World!"
[00:44:36.655] [R4] read: "Hello World!"
[00:44:36.661] [R2] read: "Hello World!"
[00:44:36.670] [R1] read: "Hello World!"
[00:44:36.672] [W6] wrote: "Hello World!"
[00:44:36.674] [W4] wrote: "Hello World!"
[00:44:36.677] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.683] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.685] [W2] wrote: "Hello World!"
[00:44:36.693] [R4] read: "Hello World!"
[00:44:36.696] [R3] read: "Hello World!"
[00:44:36.696] [W5] wrote: "Hello World!"
[00:44:36.706] [R1] read: "Hello World!"
[00:44:36.714] [R2] read: "Hello World!"
[00:44:36.717] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.718] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.720] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.723] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.733] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.735] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.741] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.747] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.747] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.748] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.756] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.757] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:36.758] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.765] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:44:36.770] [W2] wrote: "Operating systems manage hardware and software resources."
[00:44:36.774] [W3] wrote: "Operating systems manage hardware and software resources."
[00:44:36.774] [W8] wrote: "Operating systems manage hardware and software resources."
[00:44:36.777] [W1] wrote: "Operating systems manage hardware and software resources."
[00:44:36.778] [R1] read: "Operating systems manage hardware and software resources."
[00:44:36.782] [R4] read: "Operating systems manage hardware and software resources."
[00:44:36.789] [R3] read: "Operating systems manage hardware and software resources."
[00:44:36.792] [W4] wrote: "Operating systems manage hardware and software resources."
[00:44:36.810] [W5] wrote: "Operating systems manage hardware and software resources."
[00:44:36.813] [R2] read: "Operating systems manage hardware and software resources."
[00:44:36.814] [W2] wrote: "X"
[00:44:36.815] [R5] read: "X"
[00:44:36.817] [W1] wrote: "X"
[00:44:36.823] [W7] wrote: "Operating systems manage hardware and software resources."
[00:44:36.825] [R1] read: "Operating systems manage hardware and software resources."
[00:44:36.833] [R3] read: "Operating systems manage hardware and software resources."
