=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[22:41:49.079] [R1] started
[22:41:49.079] [R1] read: "Initial string content."
[22:41:49.079] [R3] started
[22:41:49.079] [R3] read: "Initial string content."
[22:41:49.079] [R2] started
[22:41:49.079] [R2] read: "Initial string content."
[22:41:49.079] [R5] started
[22:41:49.079] [W1] started
[22:41:49.079] [R5] read: "Initial string content."
[22:41:49.079] [R4] started
[22:41:49.079] [R4] read: "Anitial string content."
[22:41:49.079] [W2] started
[22:41:49.079] [W3] started
[22:41:49.079] [W4] started
[22:41:49.079] [W5] started
[22:41:49.079] [W6] started
[22:41:49.079] [W1] wrote: "A"
[22:41:49.079] [W7] started
[22:41:49.079] [W8] started
[22:41:49.079] [W2] wrote: "A"
[22:41:49.079] [W3] wrote: "A"
[22:41:49.079] [W5] wrote: "A"
[22:41:49.079] [W4] wrote: "A"
[22:41:49.079] [W6] wrote: "A"
[22:41:49.079] [W7] wrote: "A"
[22:41:49.079] [W8] wrote: "A"
[22:41:49.099] [R5] read: "A"
[22:41:49.103] [R2] read: "A"
[22:41:49.113] [R4] read: "A"
[22:41:49.114] [R1] read: "A"
[22:41:49.126] [W7] wrote: "Hello World!"
[22:41:49.135] [R3] read: "Hello World!"
[22:41:49.135] [R1] read: "Hello World!"
[22:41:49.136] [W4] wrote: "Hello World!"
[22:41:49.143] [R5] read: "Hello World!"
[22:41:49.146] [W2] wrote: "Hello World!"
[22:41:49.151] [W5] wrote: "Hello World!"
[22:41:49.155] [W8] wrote: "Hello World!"
[22:41:49.156] [R1] read: "Hello World!"
[22:41:49.161] [R4] read: "Hello World!"
[22:41:49.162] [W6] wrote: "Hello World!"
[22:41:49.163] [R2] read: "Hello World!"
[22:41:49.167] [W3] wrote: "Hello World!"
[22:41:49.168] [R3] read: "Hello World!"
[22:41:49.172] [W1] wrote: "Hello World!"
[22:41:49.174] [R5] read: "The quiorld!"
[22:41:49.180] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.188] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.191] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.196] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.206] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.208] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.209] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.210] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.211] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.213] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.227] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.237] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.240] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.252] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:49.254] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.256] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:49.258] [R3] read: "The quick brown fox jumps over the lazy dog."
