=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:17.892] [R2] started
[22:43:17.892] [R2] read: "Initial string content."
[22:43:17.892] [R4] started
[22:43:17.892] [R4] read: "Initial string content."
[22:43:17.892] [R3] started
[22:43:17.892] [R3] read: "Initial string content."
[22:43:17.892] [R5] started
[22:43:17.892] [R5] read: "Initial string content."
[22:43:17.892] [R1] started
[22:43:17.892] [R1] read: "Initial string content."
[22:43:17.892] [W6] started
[22:43:17.892] [W6] wrote: "A"
[22:43:17.892] [W5] started
[22:43:17.892] [W5] wrote: "A"
[22:43:17.892] [W2] started
[22:43:17.892] [W2] wrote: "A"
[22:43:17.892] [W3] started
[22:43:17.892] [W3] wrote: "A"
[22:43:17.892] [W1] started
[22:43:17.892] [W1] wrote: "A"
[22:43:17.892] [W7] started
[22:43:17.892] [W7] wrote: "A"
[22:43:17.892] [W4] started
[22:43:17.892] [W4] wrote: "A"
[22:43:17.892] [W8] started
[22:43:17.892] [W8] wrote: "A"
[22:43:17.912] [R3] read: "A"
[22:43:17.919] [R2] read: "A"
[22:43:17.926] [R5] read: "A"
[22:43:17.930] [R4] read: "A"
[22:43:17.932] [W2] wrote: "Hello World!"
[22:43:17.938] [R1] read: "Hello World!"
[22:43:17.955] [W3] wrote: "Hello World!"
[22:43:17.958] [R2] read: "Hello World!"
[22:43:17.962] [R3] read: "Hello World!"
[22:43:17.963] [W5] wrote: "Hello World!"
[22:43:17.965] [W4] wrote: "Hello World!"
[22:43:17.966] [W7] wrote: "Hello World!"
[22:43:17.969] [R1] read: "Hello World!"
[22:43:17.975] [R5] read: "Hello World!"
[22:43:17.979] [R4] read: "Hello World!"
[22:43:17.981] [W1] wrote: "Hello World!"
[22:43:17.983] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:17.986] [W6] wrote: "Hello World!"
[22:43:17.992] [W8] wrote: "Hello World!"
[22:43:17.993] [R2] read: "Hello World!"
[22:43:18.001] [R3] read: "Hello World!"
[22:43:18.010] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.012] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.026] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.027] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.027] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.030] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.033] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.038] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.038] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.044] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.052] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:18.059] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.060] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.060] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:18.064] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.066] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.073] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.073] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:18.075] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:18.084] [W2] wrote: "X"
[22:43:18.088] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:18.090] [R3] read: "Operating systems manage hardware and software resources."
[22:43:18.091] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:18.096] [R1] read: "Operating systems manage hardware and software resources."
[22:43:18.103] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:18.109] [R2] read: "Operating systems manage hardware and software resources."
[22:43:18.114] [W7] wrote: "X"
[22:43:18.118] [R5] read: "X"
[22:43:18.120] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:18.124] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.126] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.126] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.133] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.134] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:18.137] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:18.141] [W4] wrote: "X"
[22:43:18.144] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.150] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.150] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.153] [W5] wrote: "X"
[22:43:18.161] [R1] read: "X"
[22:43:18.169] [R3] read: "X"
[22:43:18.172] [W6] wrote: "X"
[22:43:18.175] [R4] read: "X"
[22:43:18.177] [R5] read: "X"
[22:43:18.179] [W3] wrote: "X"
[22:43:18.180] [W8] wrote: "X"
[22:43:18.185] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.185] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.190] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.202] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.207] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.209] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.210] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.214] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.214] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.217] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.219] [W1] wrote: "X"
[22:43:18.223] [R4] read: "X"
[22:43:18.236] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.239] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:18.242] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.251] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.255] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.258] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.267] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.273] [W5] wrote: "Race!"
[22:43:18.278] [R2] read: "Race!"
[22:43:18.281] [W2] wrote: "Race!"
[22:43:18.285] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.286] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:18.297] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.304] [W7] wrote: "Race!"
[22:43:18.304] [R1] read: "Race!"
[22:43:18.307] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.309] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:18.310] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:18.312] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.314] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.322] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.331] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.339] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:18.342] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:18.346] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.347] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.350] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.356] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:18.363] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:18.369] [W4] wrote: "Race!"
[22:43:18.371] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.378] [W8] wrote: "Race!"
[22:43:18.388] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.389] [W6] wrote: "Race!"
[22:43:18.391] [R2] read: "Race!"
[22:43:18.396] [R1] read: "Race!"
[22:43:18.397] [R4] read: "Race!"
[22:43:18.399] [W1] wrote: "Race!"
[22:43:18.403] [W3] wrote: "Race!"
[22:43:18.404] [R3] read: "Race!"
[22:43:18.417] [R5] read: "Race!"
[22:43:18.425] [R2] read: "Race!"
[22:43:18.427] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.432] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.435] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.436] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.441] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.442] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.443] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.449] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:18.451] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.457] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:18.457] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.459] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.462] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:18.464] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.465] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.466] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:18.471] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.475] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
