=== Shared String - Reader-Writer Problem ===
Mode: reader_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:05.229] [R1] started
[22:42:05.229] [R1] read: "Initial string content."
[22:42:05.229] [R2] started
[22:42:05.229] [R2] read: "Initial string content."
[22:42:05.229] [R3] started
[22:42:05.229] [R3] read: "Initial string content."
[22:42:05.229] [W3] started
[22:42:05.229] [W3] wrote: "A"
[22:42:05.229] [W1] started
[22:42:05.229] [W1] wrote: "A"
[22:42:05.229] [R5] started
[22:42:05.229] [R5] read: "A"
[22:42:05.229] [W2] started
[22:42:05.229] [W2] wrote: "A"
[22:42:05.229] [R4] started
[22:42:05.229] [R4] read: "A"
[22:42:05.229] [W5] started
[22:42:05.229] [W5] wrote: "A"
[22:42:05.229] [W7] started
[22:42:05.229] [W7] wrote: "A"
[22:42:05.229] [W4] started
[22:42:05.229] [W4] wrote: "A"
[22:42:05.229] [W8] started
[22:42:05.229] [W6] started
[22:42:05.229] [W8] wrote: "A"
[22:42:05.229] [W6] wrote: "A"
[22:42:05.249] [R1] read: "A"
[22:42:05.255] [R5] read: "A"
[22:42:05.267] [W5] wrote: "Hello World!"
[22:42:05.270] [W4] wrote: "Hello World!"
[22:42:05.271] [R4] read: "Hello World!"
[22:42:05.273] [W8] wrote: "Hello World!"
[22:42:05.276] [R2] read: "Hello World!"
[22:42:05.277] [R5] read: "Hello World!"
[22:42:05.278] [R3] read: "Hello World!"
[22:42:05.291] [W7] wrote: "Hello World!"
[22:42:05.294] [W1] wrote: "Hello World!"
[22:42:05.295] [R1] read: "Hello World!"
[22:42:05.295] [W6] wrote: "Hello World!"
[22:42:05.315] [R2] read: "Hello World!"
[22:42:05.317] [W2] wrote: "Hello World!"
[22:42:05.321] [R4] read: "Hello World!"
[22:42:05.325] [W3] wrote: "Hello World!"
[22:42:05.326] [R5] read: "Hello World!"
[22:42:05.331] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.335] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:42:05.338] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.345] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.346] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:42:05.352] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.358] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:05.361] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.365] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:42:05.365] [W5] wrote: "Operating systems manage hardware and software resources."
[22:42:05.368] [R2] read: "Operating systems manage hardware and software resources."
[22:42:05.374] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.379] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:05.383] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:05.386] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:05.390] [R1] read: "The quick brown fox jumps over the lazy dog."
