=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[00:42:51.595] [R2] started
[00:42:51.595] [R2] read: "Initial string content."
[00:42:51.595] [R3] started
[00:42:51.595] [R3] read: "Initial string content."
[00:42:51.595] [R4] started
[00:42:51.595] [R4] read: "Initial string content."
[00:42:51.595] [R1] started
[00:42:51.595] [R1] read: "Initial string content."
[00:42:51.595] [R5] started
[00:42:51.595] [R5] read: "Initial string content."
[00:42:51.595] [W3] started
[00:42:51.595] [W2] started
[00:42:51.596] [W1] started
[00:42:51.596] [W4] started
[00:42:51.596] [W6] started
[00:42:51.596] [W5] started
[00:42:51.596] [W7] started
[00:42:51.596] [W8] started
[00:42:51.596] [W3] wrote: "A"
[00:42:51.596] [W2] wrote: "A"
[00:42:51.596] [W1] wrote: "A"
[00:42:51.596] [W6] wrote: "A"
[00:42:51.596] [W5] wrote: "A"
[00:42:51.596] [W4] wrote: "A"
[00:42:51.596] [W7] wrote: "A"
[00:42:51.596] [W8] wrote: "A"
[00:42:51.616] [R3] read: "A"
[00:42:51.632] [R2] read: "A"
[00:42:51.635] [W7] wrote: "Hello World!"
[00:42:51.636] [W2] wrote: "Hello World!"
[00:42:51.644] [R1] read: "Hello World!"
[00:42:51.649] [W3] wrote: "Hello World!"
[00:42:51.651] [R5] read: "Hello World!"
[00:42:51.655] [R4] read: "Hello World!"
[00:42:51.657] [W1] wrote: "Hello World!"
[00:42:51.665] [W6] wrote: "Hello World!"
[00:42:51.668] [R3] read: "Hello World!"
[00:42:51.668] [W4] wrote: "Hello World!"
[00:42:51.687] [R2] read: "Hello World!"
[00:42:51.687] [W5] wrote: "Hello World!"
[00:42:51.691] [W8] wrote: "Hello World!"
[00:42:51.694] [R1] read: "Hello World!"
[00:42:51.702] [R3] read: "Hello World!"
[00:42:51.710] [R5] read: "The quick brown fotent."
[00:42:51.714] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.715] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:42:51.718] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:42:51.719] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:42:51.719] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.723] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.726] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.739] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.745] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.751] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.753] [R1] read: "Operating systems manage hardware  lazy dog."
[00:42:51.755] [R3] read: "Operating systems manage hardware and software"
[00:42:51.757] [W6] wrote: "Operating systems manage hardware and software resources."
[00:42:51.757] [R5] read: "Operating systems manage hardware and software resources."
[00:42:51.767] [R2] read: "Operating systems manage hardware and software resources."
[00:42:51.771] [R4] read: "Operating systems manage hardware and software resources."
[00:42:51.782] [R5] read: "The quick brown fox nage hardware and software resources."
[00:42:51.783] [W7] wrote: "Operating systems manage hardware and software resources."
[00:42:51.786] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:51.788] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:42:51.791] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:42:51.798] [R2] read: "Operating systems manage hardr the lazy dog."
[00:42:51.802] [W2] wrote: "Operating systems manage hardware and software resources."
[00:42:51.803] [R4] read: "Operating systems manage hardware and software resources."
[00:42:51.803] [W4] wrote: "Operating systems manage hardware and software resources."
[00:42:51.811] [R3] read: "Operating systems manage hardware and software resources."
[00:42:51.813] [R5] read: "Operating systems manage hardware and software resources."
[00:42:51.815] [W5] wrote: "Operating systems manage hardware and software resources."
[00:42:51.819] [R1] read: "Operating systems manage hardware and software resources."
[00:42:51.821] [R2] read: "Operating systems manage hardware and software resources."
[00:42:51.822] [W1] wrote: "Operating systems manage hardware and software resources."
[00:42:51.832] [W3] wrote: "Operating systems manage hardware and software resources."
[00:42:51.836] [W6] wrote: "X"
[00:42:51.840] [R4] read: "X"
[00:42:51.843] [R1] read: "X"
[00:42:51.864] [R2] read: "Operating systems manage hardware and software resources."
[00:42:51.864] [R5] read: "Operating systems manage hardware and software resources."
[00:42:51.866] [R1] read: "Operating systems manage hardware and software resources."
[00:42:51.868] [W8] wrote: "Operating systems manage hardware and software resources."
[00:42:51.869] [R3] read: "Operating systems manage hardware and software resources."
[00:42:51.879] [W3] wrote: "X"
[00:42:51.880] [R4] read: "S"
[00:42:51.882] [W7] wrote: "X"
[00:42:51.890] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:42:51.891] [R2] read: "X"
[00:42:51.900] [W1] wrote: "X"
[00:42:51.902] [W2] wrote: "X"
[00:42:51.903] [W5] wrote: "X"
[00:42:51.904] [W4] wrote: "X"
[00:42:51.907] [R3] read: "X"
[00:42:51.908] [R5] read: "X"
[00:42:51.918] [R2] read: "X"
[00:42:51.920] [W8] wrote: "X"
[00:42:51.925] [R1] read: "X"
[00:42:51.929] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:42:51.937] [W6] wrote: "Readers and writers must coordinate access to shared data."
[00:42:51.940] [R4] read: "Readers and writers must coordinate access to shared data."
[00:42:51.945] [R2] read: "Readers and writers must coordinate access to shared data."
[00:42:51.959] [R5] read: "Readers and writers must coordinate access to shared data."
[00:42:51.960] [R1] read: "Readers and writers must coordinate access to shared data."
[00:42:51.964] [R3] read: "Synders and writers must coordinate access to shared data."
