=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:01.751] [R1] started
[22:43:01.751] [R1] read: "Initial string content."
[22:43:01.751] [R2] started
[22:43:01.751] [R2] read: "Initial string content."
[22:43:01.751] [R4] started
[22:43:01.751] [R4] read: "Initial string content."
[22:43:01.751] [W3] started
[22:43:01.751] [W3] wrote: "A"
[22:43:01.751] [R3] started
[22:43:01.751] [R3] read: "A"
[22:43:01.751] [W4] started
[22:43:01.751] [W4] wrote: "A"
[22:43:01.751] [R5] started
[22:43:01.751] [R5] read: "A"
[22:43:01.751] [W5] started
[22:43:01.751] [W2] started
[22:43:01.751] [W5] wrote: "A"
[22:43:01.751] [W6] started
[22:43:01.751] [W2] wrote: "A"
[22:43:01.751] [W1] started
[22:43:01.751] [W6] wrote: "A"
[22:43:01.751] [W1] wrote: "A"
[22:43:01.751] [W7] started
[22:43:01.751] [W7] wrote: "A"
[22:43:01.751] [W8] started
[22:43:01.751] [W8] wrote: "A"
[22:43:01.772] [R2] read: "A"
[22:43:01.773] [R1] read: "A"
[22:43:01.778] [R5] read: "A"
[22:43:01.784] [W5] wrote: "Hello World!"
[22:43:01.787] [R3] read: "Hello World!"
[22:43:01.789] [W4] wrote: "Hello World!"
[22:43:01.792] [R2] read: "Hello World!"
[22:43:01.793] [W1] wrote: "Hello World!"
[22:43:01.801] [W6] wrote: "Hello World!"
[22:43:01.805] [R4] read: "Hello World!"
[22:43:01.807] [R3] read: "Hello World!"
[22:43:01.808] [R5] read: "Hello World!"
[22:43:01.809] [W2] wrote: "Hello World!"
[22:43:01.816] [R1] read: "Hello World!"
[22:43:01.822] [W8] wrote: "Hello World!"
[22:43:01.834] [R2] read: "Hello World!"
[22:43:01.834] [W7] wrote: "Hello World!"
[22:43:01.837] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.842] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.842] [W3] wrote: "Hello World!"
[22:43:01.848] [R1] read: "Hello World!"
[22:43:01.858] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.862] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.862] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.867] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.870] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.877] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.879] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:01.885] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.887] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.887] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.889] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.891] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:01.895] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.897] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:01.904] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:01.906] [R2] read: "Operating systems manage hardware and software resources."
[22:43:01.919] [R1] read: "Operating systems manage hardware and software resources."
[22:43:01.920] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:01.923] [R5] read: "Operating systems manage hardware and software resources."
[22:43:01.929] [R4] read: "Operating systems manage hardware and software resources."
[22:43:01.932] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:01.932] [R3] read: "Operating systems manage hardware and software resources."
[22:43:01.938] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:01.953] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:01.954] [W5] wrote: "X"
[22:43:01.956] [R5] read: "X"
[22:43:01.958] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:01.964] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:01.964] [R2] read: "Operating systems manage hardware and software resources."
[22:43:01.965] [R3] read: "Operating systems manage hardware and software resources."
[22:43:01.965] [R4] read: "Operating systems manage hardware and software resources."
[22:43:01.971] [W4] wrote: "X"
[22:43:01.977] [R1] read: "X"
[22:43:01.981] [W3] wrote: "X"
[22:43:01.986] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:01.989] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:01.991] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:01.998] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.008] [W2] wrote: "X"
[22:43:02.010] [R4] read: "X"
[22:43:02.016] [W7] wrote: "X"
[22:43:02.016] [R3] read: "X"
[22:43:02.017] [R1] read: "X"
[22:43:02.019] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.020] [W8] wrote: "X"
[22:43:02.028] [R2] read: "X"
[22:43:02.029] [W1] wrote: "X"
[22:43:02.030] [R4] read: "X"
[22:43:02.034] [W6] wrote: "X"
[22:43:02.042] [R1] read: "X"
[22:43:02.047] [R5] read: "X"
[22:43:02.057] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.057] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:02.062] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:02.066] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.071] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.072] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:02.076] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.076] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.088] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.089] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.091] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.099] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.101] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.104] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.107] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:02.109] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:02.112] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.114] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:02.115] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.129] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:02.130] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:02.141] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:02.143] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:02.146] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.146] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.152] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.155] [W5] wrote: "Race!"
[22:43:02.156] [R4] read: "Race!"
[22:43:02.158] [W7] wrote: "Race!"
[22:43:02.165] [R3] read: "Race!"
[22:43:02.166] [W4] wrote: "Race!"
[22:43:02.167] [R2] read: "Race!"
[22:43:02.168] [W2] wrote: "Race!"
[22:43:02.181] [R4] read: "Race!"
[22:43:02.184] [R1] read: "Race!"
[22:43:02.188] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:02.188] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:02.190] [W6] wrote: "Race!"
[22:43:02.209] [W3] wrote: "Race!"
[22:43:02.215] [R3] read: "Race!"
[22:43:02.216] [R4] read: "Race!"
[22:43:02.218] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.222] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.224] [R2] read: "Mutual exclusion ensures only one writer at a time."
