=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[00:44:12.351] [R3] started
[00:44:12.352] [R3] read: "Initial string content."
[00:44:12.352] [R1] started
[00:44:12.352] [R1] read: "Initial string content."
[00:44:12.352] [R5] started
[00:44:12.352] [R5] read: "Initial string content."
[00:44:12.352] [R4] started
[00:44:12.352] [R4] read: "Initial string content."
[00:44:12.352] [R2] started
[00:44:12.352] [R2] read: "Initial string content."
[00:44:12.352] [W2] started
[00:44:12.352] [W1] started
[00:44:12.352] [W2] wrote: "A"
[00:44:12.352] [W3] started
[00:44:12.352] [W1] wrote: "A"
[00:44:12.352] [W3] wrote: "A"
[00:44:12.352] [W5] started
[00:44:12.352] [W5] wrote: "A"
[00:44:12.352] [W6] started
[00:44:12.352] [W6] wrote: "A"
[00:44:12.352] [W7] started
[00:44:12.352] [W7] wrote: "A"
[00:44:12.352] [W8] started
[00:44:12.352] [W8] wrote: "A"
[00:44:12.352] [W4] started
[00:44:12.352] [W4] wrote: "A"
[00:44:12.379] [R3] read: "A"
[00:44:12.385] [W6] wrote: "Hello World!"
[00:44:12.386] [R1] read: "Hello World!"
[00:44:12.390] [W4] wrote: "Hello World!"
[00:44:12.391] [R2] read: "Hello World!"
[00:44:12.399] [W2] wrote: "Hello World!"
[00:44:12.401] [R4] read: "Hello World!"
[00:44:12.403] [W1] wrote: "Hello World!"
[00:44:12.403] [R3] read: "Hello World!"
[00:44:12.406] [R5] read: "Hello World!"
[00:44:12.409] [W5] wrote: "Hello World!"
[00:44:12.412] [R2] read: "Hello World!"
[00:44:12.415] [W8] wrote: "Hello World!"
[00:44:12.419] [R1] read: "Hello World!"
[00:44:12.423] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.428] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.439] [W7] wrote: "Hello World!"
[00:44:12.441] [R1] read: "Hello World!"
[00:44:12.443] [R4] read: "Hello World!"
[00:44:12.444] [W3] wrote: "Hello World!"
[00:44:12.444] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.446] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.446] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.455] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.458] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.460] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.464] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.474] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.474] [W2] wrote: "Operating systems manage hardware and software resources."
[00:44:12.480] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.489] [W4] wrote: "Operating systems manage hardware and software resources."
[00:44:12.494] [R2] read: "Operating systems manage hardware and software resources."
[00:44:12.498] [R4] read: "Operating systems manage hardware and software resources."
[00:44:12.498] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.504] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.512] [W8] wrote: "Operating systems manage hardware and software resources."
[00:44:12.515] [R3] read: "Operating systems manage hardware and software resources."
[00:44:12.518] [W5] wrote: "Operating systems manage hardware and software resources."
[00:44:12.518] [W2] wrote: "X"
[00:44:12.519] [W1] wrote: "Operating systems manage hardware and software resources."
[00:44:12.531] [R2] read: "Operating systems manage hardware and software resources."
[00:44:12.532] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:12.532] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:12.536] [W7] wrote: "Operating systems manage hardware and software resources."
[00:44:12.550] [R1] read: "Operating systems manage hardware and software resources."
[00:44:12.552] [R4] read: "Operating systems manage hardware and software resources."
[00:44:12.560] [R2] read: "Operating systems manage hardware and software resources."
[00:44:12.564] [W1] wrote: "X"
[00:44:12.568] [R3] read: "X"
[00:44:12.570] [W3] wrote: "Operating systems manage hardware and software resources."
[00:44:12.579] [W6] wrote: "Operating systems manage hardware and software resources."
[00:44:12.584] [W5] wrote: "X"
[00:44:12.585] [W4] wrote: "X"
[00:44:12.586] [W8] wrote: "X"
[00:44:12.588] [R3] read: "X"
[00:44:12.590] [R5] read: "X"
[00:44:12.591] [W7] wrote: "X"
[00:44:12.592] [R2] read: "X"
[00:44:12.604] [R1] read: "X"
[00:44:12.606] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.608] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.608] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.615] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.617] [W6] wrote: "X"
[00:44:12.619] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.630] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.631] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.632] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.632] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.645] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.652] [W2] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.653] [W1] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.655] [W3] wrote: "X"
[00:44:12.656] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.656] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.662] [W8] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.663] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.673] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.674] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.686] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.689] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.692] [W6] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.693] [W8] wrote: "Race!"
[00:44:12.693] [R5] read: "Race!"
[00:44:12.693] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.699] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.708] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.708] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:44:12.712] [W5] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.719] [R5] read: "Readers and writers must coordinate access to shared data."
[00:44:12.720] [R2] read: "Readers and writers must coordinate access to shared data."
[00:44:12.721] [R3] read: "Readers and writers must coordinate access to shared data."
[00:44:12.726] [W3] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.728] [R4] read: "Readers and writers must coordinate access to shared data."
[00:44:12.734] [W1] wrote: "Race!"
[00:44:12.742] [W7] wrote: "Readers and writers must coordinate access to shared data."
[00:44:12.744] [W2] wrote: "Race!"
[00:44:12.752] [W4] wrote: "Readers and writers must coordinate access to shared data."
