=== Shared String - Reader-Writer Problem ===
Mode: reader_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[00:43:23.906] [R3] started
[00:43:23.906] [R3] read: "Initial string content."
[00:43:23.906] [W2] started
[00:43:23.906] [W2] wrote: "A"
[00:43:23.906] [R1] started
[00:43:23.906] [R1] read: "A"
[00:43:23.906] [W3] started
[00:43:23.906] [W3] wrote: "A"
[00:43:23.906] [W1] started
[00:43:23.906] [W1] wrote: "A"
[00:43:23.906] [R4] started
[00:43:23.906] [R4] read: "A"
[00:43:23.906] [R5] started
[00:43:23.906] [R5] read: "A"
[00:43:23.906] [W4] started
[00:43:23.906] [W4] wrote: "A"
[00:43:23.906] [W5] started
[00:43:23.906] [W5] wrote: "A"
[00:43:23.906] [W8] started
[00:43:23.906] [W8] wrote: "A"
[00:43:23.906] [W6] started
[00:43:23.906] [W6] wrote: "A"
[00:43:23.906] [R2] started
[00:43:23.906] [R2] read: "A"
[00:43:23.906] [W7] started
[00:43:23.906] [W7] wrote: "A"
[00:43:23.932] [R3] read: "A"
[00:43:23.941] [W2] wrote: "Hello World!"
[00:43:23.944] [W3] wrote: "Hello World!"
[00:43:23.949] [R1] read: "Hello World!"
[00:43:23.950] [W7] wrote: "Hello World!"
[00:43:23.952] [W1] wrote: "Hello World!"
[00:43:23.956] [R4] read: "Hello World!"
[00:43:23.960] [R2] read: "Hello World!"
[00:43:23.962] [R5] read: "Hello World!"
[00:43:23.964] [R3] read: "Hello World!"
[00:43:23.980] [W5] wrote: "Hello World!"
[00:43:23.988] [W8] wrote: "Hello World!"
[00:43:23.989] [R1] read: "Hello World!"
[00:43:23.990] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:23.991] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:23.993] [W4] wrote: "Hello World!"
[00:43:23.994] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:23.994] [W6] wrote: "Hello World!"
[00:43:24.004] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:24.006] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.010] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:24.011] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.013] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.024] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:24.024] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:24.032] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:24.033] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.044] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.049] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.049] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:24.055] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.059] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.063] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:43:24.072] [W2] wrote: "Operating systems manage hardware and software resources."
[00:43:24.083] [W3] wrote: "Operating systems manage hardware and software resources."
[00:43:24.088] [R2] read: "Operating systems manage hardware and software resources."
[00:43:24.090] [W7] wrote: "Operating systems manage hardware and software resources."
[00:43:24.092] [R3] read: "Operating systems manage hardware and software resources."
[00:43:24.095] [R1] read: "Operating systems manage hardware and software resources."
[00:43:24.098] [W1] wrote: "Operating systems manage hardware and software resources."
[00:43:24.101] [W5] wrote: "Operating systems manage hardware and software resources."
[00:43:24.108] [R4] read: "Operating systems manage hardware and software resources."
[00:43:24.109] [W6] wrote: "Operating systems manage hardware and software resources."
[00:43:24.118] [W3] wrote: "X"
[00:43:24.120] [R5] read: "X"
[00:43:24.120] [R1] read: "X"
[00:43:24.121] [R2] read: "X"
[00:43:24.122] [W8] wrote: "Operating systems manage hardware and software resources."
[00:43:24.142] [W4] wrote: "Operating systems manage hardware and software resources."
[00:43:24.148] [R3] read: "Operating systems manage hardware and software resources."
[00:43:24.155] [W2] wrote: "X"
[00:43:24.159] [R1] read: "X"
[00:43:24.159] [R2] read: "X"
[00:43:24.159] [R4] read: "X"
[00:43:24.161] [W7] wrote: "X"
[00:43:24.162] [R5] read: "X"
[00:43:24.174] [W1] wrote: "X"
[00:43:24.180] [W5] wrote: "X"
[00:43:24.181] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.182] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.190] [W8] wrote: "X"
[00:43:24.191] [W6] wrote: "X"
[00:43:24.192] [R3] read: "X"
[00:43:24.192] [R2] read: "X"
[00:43:24.199] [R1] read: "X"
[00:43:24.213] [R4] read: "X"
[00:43:24.218] [R2] read: "X"
[00:43:24.222] [W4] wrote: "X"
[00:43:24.224] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.230] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.234] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.235] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.235] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.236] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.244] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.245] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.252] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.257] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.262] [W3] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.265] [R4] read: "Readers and writers must coordinate access to shared data."
[00:43:24.269] [R3] read: "Readers and writers must coordinate access to shared data."
[00:43:24.270] [W6] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.271] [W2] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.272] [R5] read: "Readers and writers must coordinate access to shared data."
[00:43:24.274] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.276] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.297] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.300] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.304] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.307] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.310] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.314] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:24.317] [W7] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.322] [W2] wrote: "Race!"
[00:43:24.326] [W5] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.327] [W1] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.329] [W8] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.332] [W3] wrote: "Race!"
[00:43:24.338] [R4] read: "Race!"
[00:43:24.340] [R1] read: "Race!"
[00:43:24.341] [R3] read: "Race!"
[00:43:24.342] [W4] wrote: "Readers and writers must coordinate access to shared data."
[00:43:24.349] [R2] read: "Readers and writers must coordinate access to shared data."
[00:43:24.351] [W6] wrote: "Race!"
[00:43:24.352] [R5] read: "Race!"
[00:43:24.372] [W1] wrote: "Race!"
[00:43:24.378] [W5] wrote: "Race!"
[00:43:24.379] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.383] [R4] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.391] [R2] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.393] [R5] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.393] [R3] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.395] [R1] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.415] [W8] wrote: "Race!"
[00:43:24.415] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.416] [R4] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.416] [W7] wrote: "Race!"
[00:43:24.419] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.429] [W4] wrote: "Race!"
[00:43:24.430] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.432] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.434] [R3] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.440] [R1] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.445] [R4] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.446] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.448] [R2] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.452] [R5] read: "Mutual exclusion ensures only one writer at a time."
[00:43:24.458] [W3] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.466] [W6] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.468] [R1] read: "Pthread library provides powerful threading primitives."
[00:43:24.471] [W1] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.473] [R3] read: "Pthread library provides powerful threading primitives."
[00:43:24.473] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.474] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:24.475] [W2] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.480] [W8] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.499] [R4] read: "Pthread library provides powerful threading primitives."
[00:43:24.502] [R2] read: "Pthread library provides powerful threading primitives."
[00:43:24.504] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.505] [W5] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.512] [R5] read: "Pthread library provides powerful threading primitives."
[00:43:24.512] [R1] read: "Pthread library provides powerful threading primitives."
[00:43:24.513] [W4] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.523] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.525] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.530] [W7] wrote: "Pthread library provides powerful threading primitives."
[00:43:24.531] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.536] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.541] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.546] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.548] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.552] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.558] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.561] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.561] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.568] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.569] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.576] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.577] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:24.578] [W6] wrote: "AB"
