=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[22:41:40.994] [R1] started
[22:41:40.994] [R1] read: "Initial string content."
[22:41:40.994] [R3] started
[22:41:40.994] [R3] read: "Initial string content."
[22:41:40.995] [R2] started
[22:41:40.995] [R2] read: "Initial string content."
[22:41:40.995] [R5] started
[22:41:40.995] [R5] read: "Initial string content."
[22:41:40.995] [W3] started
[22:41:40.995] [W1] started
[22:41:40.995] [R4] started
[22:41:40.995] [R4] read: "Anitial string content."
[22:41:40.995] [W5] started
[22:41:40.995] [W2] started
[22:41:40.995] [W6] started
[22:41:40.995] [W4] started
[22:41:40.995] [W7] started
[22:41:40.995] [W3] wrote: "A"
[22:41:40.995] [W1] wrote: "A"
[22:41:40.995] [W8] started
[22:41:40.995] [W5] wrote: "A"
[22:41:40.995] [W2] wrote: "A"
[22:41:40.995] [W6] wrote: "A"
[22:41:40.995] [W4] wrote: "A"
[22:41:40.995] [W7] wrote: "A"
[22:41:40.995] [W8] wrote: "A"
[22:41:41.026] [R3] read: "A"
[22:41:41.026] [R2] read: "A"
[22:41:41.028] [W5] wrote: "Hello World!"
[22:41:41.035] [W8] wrote: "Hello World!"
[22:41:41.040] [R5] read: "Hello World!"
[22:41:41.043] [W6] wrote: "Hello World!"
[22:41:41.047] [R4] read: "Hello World!"
[22:41:41.053] [R1] read: "Hello World!"
[22:41:41.057] [W3] wrote: "Hello World!"
[22:41:41.060] [R2] read: "Hello World!"
[22:41:41.062] [W2] wrote: "Hello World!"
[22:41:41.082] [R3] read: "Hello World!own fox jumps over the la"
[22:41:41.082] [W4] wrote: "Hello World!"
[22:41:41.082] [W7] wrote: "Hello World!"
[22:41:41.083] [R1] read: "Hello World!"
[22:41:41.083] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.084] [W1] wrote: "Hello World!"
[22:41:41.092] [R2] read: "Hello World!"
[22:41:41.099] [R5] read: "Hello World!"
[22:41:41.105] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.107] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.108] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.119] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.122] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.123] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.125] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.134] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.137] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.142] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.144] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.150] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.158] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.159] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:41.162] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:41.167] [R3] read: "Operating syste fox jumps over the lazy dog."
[22:41:41.168] [R1] read: "Operating systems manumps over the lazy dog."
[22:41:41.173] [W5] wrote: "Operating systems manage hardware and software resources."
[22:41:41.180] [R4] read: "Operating systems manage hardware and software resources."
[22:41:41.186] [W7] wrote: "Operating systems manage hardware and software resources."
[22:41:41.191] [R5] read: "Operating systems manage hardware and software resources."
[22:41:41.192] [W8] wrote: "Operating systems manage hardware and software resources."
