=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[00:42:59.685] [R3] started
[00:42:59.685] [R3] read: "Initial string content."
[00:42:59.686] [R2] started
[00:42:59.686] [R2] read: "Initial string content."
[00:42:59.686] [R4] started
[00:42:59.686] [R4] read: "Initial string content."
[00:42:59.686] [W2] started
[00:42:59.686] [W1] started
[00:42:59.686] [R1] started
[00:42:59.686] [R1] read: "Anitial string content."
[00:42:59.686] [R5] started
[00:42:59.686] [W3] started
[00:42:59.686] [R5] read: "Anitial string content."
[00:42:59.686] [W2] wrote: "A"
[00:42:59.686] [W4] started
[00:42:59.686] [W5] started
[00:42:59.686] [W1] wrote: "A"
[00:42:59.686] [W6] started
[00:42:59.686] [W7] started
[00:42:59.686] [W8] started
[00:42:59.686] [W3] wrote: "A"
[00:42:59.686] [W4] wrote: "A"
[00:42:59.686] [W5] wrote: "A"
[00:42:59.686] [W8] wrote: "A"
[00:42:59.686] [W6] wrote: "A"
[00:42:59.686] [W7] wrote: "A"
[00:42:59.706] [R2] read: "A"
[00:42:59.722] [R5] read: "A"
[00:42:59.725] [W8] wrote: "Hello World!"
[00:42:59.728] [R3] read: "Hello World!"
[00:42:59.729] [W3] wrote: "Hello World!"
[00:42:59.731] [R4] read: "Hello World!"
[00:42:59.732] [W5] wrote: "Hello World!"
[00:42:59.733] [W2] wrote: "Hello World!"
[00:42:59.734] [R2] read: "Hello World!"
[00:42:59.739] [W1] wrote: "Hello World!"
[00:42:59.745] [R1] read: "Hello World!"
[00:42:59.746] [R5] read: "Hello World!"
[00:42:59.759] [R4] read: "Hello World!"
[00:42:59.760] [R2] read: "Hello World!"
[00:42:59.762] [W7] wrote: "Hello World!"
[00:42:59.772] [R3] read: "Hello World!"
[00:42:59.775] [W6] wrote: "Hello World!"
[00:42:59.780] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:59.786] [W4] wrote: "Hello World!"
[00:42:59.788] [R5] read: "Hello World!"
[00:42:59.790] [R1] read: "Hello World!"
[00:42:59.797] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:42:59.799] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:42:59.800] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:59.803] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:42:59.804] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:59.810] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:42:59.816] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:59.820] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:42:59.830] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:59.833] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:59.834] [W1] wrote: "Operating systems manage hardware and software resources."
[00:42:59.834] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:42:59.844] [R3] read: "The quick brown fox jumps over the lazy dog."
