=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:53.678] [R1] started
[22:42:53.678] [R1] read: "Initial string content."
[22:42:53.678] [R5] started
[22:42:53.678] [R5] read: "Initial string content."
[22:42:53.678] [R2] started
[22:42:53.678] [R2] read: "Initial string content."
[22:42:53.678] [W3] started
[22:42:53.678] [W3] wrote: "A"
[22:42:53.678] [W1] started
[22:42:53.678] [W1] wrote: "A"
[22:42:53.678] [R3] started
[22:42:53.678] [R3] read: "A"
[22:42:53.678] [W2] started
[22:42:53.678] [W2] wrote: "A"
[22:42:53.679] [R4] started
[22:42:53.679] [R4] read: "A"
[22:42:53.679] [W5] started
[22:42:53.679] [W5] wrote: "A"
[22:42:53.679] [W6] started
[22:42:53.679] [W6] wrote: "A"
[22:42:53.679] [W7] started
[22:42:53.679] [W7] wrote: "A"
[22:42:53.679] [W4] started
[22:42:53.679] [W4] wrote: "A"
[22:42:53.679] [W8] started
[22:42:53.679] [W8] wrote: "A"
[22:42:53.705] [R5] read: "A"
[22:42:53.711] [R4] read: "A"
[22:42:53.714] [W6] wrote: "Hello World!"
[22:42:53.717] [W1] wrote: "Hello World!"
[22:42:53.717] [R3] read: "Hello World!"
[22:42:53.717] [R2] read: "Hello World!"
[22:42:53.723] [W5] wrote: "Hello World!"
[22:42:53.725] [W2] wrote: "Hello World!"
[22:42:53.728] [W4] wrote: "Hello World!"
[22:42:53.728] [W3] wrote: "Hello World!"
[22:42:53.732] [R5] read: "Hello World!"
[22:42:53.735] [R1] read: "Hello World!"
[22:42:53.748] [R4] read: "Hello World!"
[22:42:53.756] [R5] read: "Hello World!"
[22:42:53.757] [W7] wrote: "Hello World!"
[22:42:53.758] [R2] read: "Hello World!"
[22:42:53.770] [R3] read: "Hello World!"
[22:42:53.771] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.774] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.776] [W8] wrote: "Hello World!"
[22:42:53.777] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.779] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.780] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.784] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.789] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.795] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.797] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.798] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.802] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.807] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.811] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.811] [W5] wrote: "Operating systems manage hardware and software resources."
[22:42:53.823] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:53.826] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.827] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.835] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.838] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.842] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:42:53.851] [W4] wrote: "Operating systems manage hardware and software resources."
[22:42:53.856] [W5] wrote: "X"
