=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[00:43:48.108] [R3] started
[00:43:48.108] [R3] read: "Initial string content."
[00:43:48.108] [R4] started
[00:43:48.108] [R4] read: "Initial string content."
[00:43:48.108] [R1] started
[00:43:48.108] [R1] read: "Initial string content."
[00:43:48.108] [W1] started
[00:43:48.108] [W1] wrote: "A"
[00:43:48.108] [R5] started
[00:43:48.108] [R5] read: "A"
[00:43:48.108] [R2] started
[00:43:48.108] [R2] read: "A"
[00:43:48.109] [W2] started
[00:43:48.109] [W2] wrote: "A"
[00:43:48.109] [W3] started
[00:43:48.109] [W3] wrote: "A"
[00:43:48.109] [W4] started
[00:43:48.109] [W4] wrote: "A"
[00:43:48.109] [W5] started
[00:43:48.109] [W5] wrote: "A"
[00:43:48.109] [W6] started
[00:43:48.109] [W6] wrote: "A"
[00:43:48.109] [W8] started
[00:43:48.109] [W8] wrote: "A"
[00:43:48.109] [W7] started
[00:43:48.109] [W7] wrote: "A"
[00:43:48.136] [R1] read: "A"
[00:43:48.138] [R4] read: "A"
[00:43:48.144] [R3] read: "A"
[00:43:48.148] [W2] wrote: "Hello World!"
[00:43:48.150] [R5] read: "Hello World!"
[00:43:48.158] [W7] wrote: "Hello World!"
[00:43:48.164] [W4] wrote: "Hello World!"
[00:43:48.167] [R2] read: "Hello World!"
[00:43:48.171] [W5] wrote: "Hello World!"
[00:43:48.180] [R4] read: "Hello World!"
[00:43:48.190] [W6] wrote: "Hello World!"
[00:43:48.191] [R1] read: "Hello World!"
[00:43:48.194] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.196] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.197] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:43:48.197] [W1] wrote: "Hello World!"
[00:43:48.198] [W3] wrote: "Hello World!"
[00:43:48.201] [W8] wrote: "Hello World!"
[00:43:48.203] [R3] read: "Hello World!"
[00:43:48.205] [R2] read: "Hello World!"
[00:43:48.211] [R4] read: "Hello World!"
[00:43:48.215] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.216] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.218] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:43:48.230] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:43:48.239] [W4] wrote: "Operating systems manage hardware and software resources."
[00:43:48.249] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.249] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:48.250] [W2] wrote: "Operating systems manage hardware and software resources."
[00:43:48.252] [R3] read: "Operating systems manage hardware and software resources."
[00:43:48.253] [R1] read: "Operating systems manage hardware and software resources."
[00:43:48.253] [W5] wrote: "Operating systems manage hardware and software resources."
[00:43:48.255] [R5] read: "Operating systems manage hardware and software resources."
[00:43:48.256] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.258] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.261] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:43:48.283] [W2] wrote: "X"
[00:43:48.286] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:48.288] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:43:48.291] [W7] wrote: "Operating systems manage hardware and software resources."
[00:43:48.294] [R5] read: "Operating systems manage hardware and software resources."
[00:43:48.303] [R1] read: "Operating systems manage hardware and software resources."
[00:43:48.306] [R4] read: "Operating systems manage hardware and software resources."
[00:43:48.311] [R3] read: "Operating systems manage hardware and software resources."
[00:43:48.324] [R1] read: "Operating systems manage hardware and software resources."
[00:43:48.330] [W8] wrote: "Operating systems manage hardware and software resources."
[00:43:48.332] [W5] wrote: "X"
[00:43:48.332] [W4] wrote: "X"
[00:43:48.332] [R5] read: "X"
[00:43:48.335] [W3] wrote: "Operating systems manage hardware and software resources."
[00:43:48.335] [R2] read: "Operating systems manage hardware and software resources."
[00:43:48.336] [R3] read: "Operating systems manage hardware and software resources."
[00:43:48.345] [W1] wrote: "Operating systems manage hardware and software resources."
[00:43:48.346] [W7] wrote: "X"
[00:43:48.357] [R5] read: "X"
[00:43:48.362] [R4] read: "X"
[00:43:48.363] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.366] [W6] wrote: "Operating systems manage hardware and software resources."
[00:43:48.367] [R2] read: "Operating systems manage hardware and software resources."
[00:43:48.375] [R1] read: "Operating systems manage hardware and software resources."
[00:43:48.379] [R3] read: "Operating systems manage hardware and software resources."
[00:43:48.379] [W8] wrote: "X"
[00:43:48.383] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.385] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.393] [W1] wrote: "X"
[00:43:48.394] [W2] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.403] [R3] read: "Readers and writers must coordinate access to shared data."
[00:43:48.405] [R4] read: "Readers and writers must coordinate access to shared data."
[00:43:48.408] [R2] read: "Readers and writers must coordinate access to shared data."
[00:43:48.414] [W3] wrote: "X"
[00:43:48.416] [R1] read: "X"
[00:43:48.417] [R5] read: "X"
[00:43:48.419] [W7] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.422] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.434] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.439] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.440] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.446] [W2] wrote: "Race!"
[00:43:48.453] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.457] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.458] [W4] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.459] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.461] [W6] wrote: "X"
[00:43:48.461] [R5] read: "X"
[00:43:48.466] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.475] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.483] [W7] wrote: "Race!"
[00:43:48.484] [R2] read: "Race!"
[00:43:48.491] [R5] read: "Race!"
[00:43:48.494] [R4] read: "Race!"
[00:43:48.501] [W5] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.506] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.516] [R3] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.519] [R1] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.526] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.528] [W4] wrote: "Race!"
[00:43:48.530] [W1] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.530] [R4] read: "Readers and writers must coordinate access to shared data."
[00:43:48.535] [R2] read: "Readers and writers must coordinate access to shared data."
[00:43:48.541] [W3] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.542] [R5] read: "Readers and writers must coordinate access to shared data."
[00:43:48.553] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.557] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:48.557] [W8] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.564] [R4] read: "Readers and writers must coordinate access to shared data."
[00:43:48.565] [R2] read: "Readers and writers must coordinate access to shared data."
[00:43:48.565] [R3] read: "Readers and writers must coordinate access to shared data."
[00:43:48.575] [W1] wrote: "Race!"
[00:43:48.582] [R1] read: "Race!"
[00:43:48.584] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.589] [W5] wrote: "Race!"
[00:43:48.593] [W2] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.597] [R5] read: "Pthread library provides powerful threading primitives."
[00:43:48.599] [R4] read: "Pthread library provides powerful threading primitives."
[00:43:48.611] [W8] wrote: "Race!"
[00:43:48.613] [W6] wrote: "Readers and writers must coordinate access to shared data."
[00:43:48.618] [W3] wrote: "Race!"
[00:43:48.618] [W7] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.619] [R3] read: "Pthread library provides powerful threading primitives."
[00:43:48.621] [R2] read: "Pthread library provides powerful threading primitives."
[00:43:48.625] [R1] read: "Pthread library provides powerful threading primitives."
[00:43:48.639] [W4] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.641] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.643] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.650] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.651] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.655] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.664] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.670] [W6] wrote: "Race!"
[00:43:48.680] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.683] [R1] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.683] [R2] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.689] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.691] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.696] [R4] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.697] [R5] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.700] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.707] [W1] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.711] [R3] read: "Pthread library provides powerful threading primitives."
[00:43:48.711] [R1] read: "Pthread library provides powerful threading primitives."
[00:43:48.718] [W8] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.730] [R4] read: "Pthread library provides powerful threading primitives."
[00:43:48.731] [W2] wrote: "AB"
[00:43:48.732] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:48.737] [R2] read: "Mutual exclusion ensures only one writer at a time."
[00:43:48.738] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.741] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.758] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.761] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.764] [W7] wrote: "AB"
[00:43:48.767] [R3] read: "AB"
[00:43:48.767] [R1] read: "AB"
[00:43:48.770] [W6] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.775] [W3] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.780] [R5] read: "Pthread library provides powerful threading primitives."
[00:43:48.788] [W5] wrote: "Pthread library provides powerful threading primitives."
[00:43:48.789] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.793] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.801] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.803] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.804] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.807] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.807] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.823] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.824] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.826] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[00:43:48.831] [W4] wrote: "AB"
[00:43:48.838] [R1] read: "AB"
[00:43:48.839] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[00:43:48.843] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.848] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.852] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.856] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.860] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.867] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:48.868] [W8] wrote: "AB"
[00:43:48.871] [R3] read: "AB"
[00:43:48.872] [R5] read: "AB"
[00:43:48.874] [R2] read: "AB"
[00:43:48.876] [W6] wrote: "AB"
[00:43:48.878] [W1] wrote: "AB"
[00:43:48.879] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[00:43:48.885] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.889] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.900] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.902] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.905] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.907] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[00:43:48.916] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[00:43:48.924] [W5] wrote: "AB"
[00:43:48.924] [R1] read: "AB"
[00:43:48.930] [W2] wrote: "Test"
[00:43:48.930] [R2] read: "Test"
[00:43:48.933] [R3] read: "Test"
