=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[00:42:35.450] [R1] started
[00:42:35.450] [R1] read: "Initial string content."
[00:42:35.450] [R3] started
[00:42:35.450] [R3] read: "Initial string content."
[00:42:35.450] [R2] started
[00:42:35.450] [R5] started
[00:42:35.450] [W1] started
[00:42:35.450] [R2] read: "Initial string content."
[00:42:35.450] [W2] started
[00:42:35.450] [R5] read: "Initial string content."
[00:42:35.450] [W3] started
[00:42:35.450] [R4] started
[00:42:35.450] [R4] read: "Anitial string content."
[00:42:35.450] [W5] started
[00:42:35.450] [W4] started
[00:42:35.450] [W6] started
[00:42:35.450] [W7] started
[00:42:35.450] [W8] started
[00:42:35.450] [W1] wrote: "A"
[00:42:35.450] [W2] wrote: "A"
[00:42:35.450] [W3] wrote: "A"
[00:42:35.450] [W5] wrote: "A"
[00:42:35.450] [W4] wrote: "A"
[00:42:35.450] [W6] wrote: "A"
[00:42:35.450] [W7] wrote: "A"
[00:42:35.450] [W8] wrote: "A"
[00:42:35.471] [R4] read: "A"
[00:42:35.475] [R5] read: "A"
[00:42:35.484] [R1] read: "A"
[00:42:35.489] [R3] read: "A"
[00:42:35.493] [R2] read: "A"
[00:42:35.510] [W7] wrote: "Hello World!"
[00:42:35.511] [W8] wrote: "Hello World!"
[00:42:35.513] [W1] wrote: "Hello World!"
[00:42:35.514] [R5] read: "Hello World!"
[00:42:35.516] [R4] read: "Hello World!"
[00:42:35.517] [W2] wrote: "Hello World!"
[00:42:35.523] [R1] read: "Hello World!"
[00:42:35.530] [W6] wrote: "Hello World!"
[00:42:35.530] [W5] wrote: "Hello World!"
[00:42:35.542] [W3] wrote: "Hello World!"
[00:42:35.544] [R2] read: "Hello World!"
[00:42:35.548] [R3] read: "The quWorld!"
[00:42:35.551] [W4] wrote: "Hello World!"
[00:42:35.554] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.559] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.559] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.559] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:42:35.561] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:42:35.569] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.571] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:42:35.577] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.584] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.593] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:42:35.599] [R3] read: "Operating systems manage hardware and y dog."
[00:42:35.600] [R5] read: "Operating systems manage hardware and software"
[00:42:35.602] [W7] wrote: "Operating systems manage hardware and software resources."
[00:42:35.604] [R2] read: "Operating systems manage hardware and software resources."
[00:42:35.605] [W8] wrote: "Operating systems manage hardware and software resources."
[00:42:35.624] [R4] read: "The quick brown fox jumps over the nd software resources."
[00:42:35.626] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:35.627] [R2] read: "Ope quick brown fox jumps over the lazy dog."
[00:42:35.633] [R1] read: "Operating systems manage hardware and sofog."
[00:42:35.636] [W2] wrote: "Operating systems manage hardware and software resources."
[00:42:35.636] [R3] read: "Operating systems manage hardware and software resources."
[00:42:35.638] [W6] wrote: "Operating systems manage hardware and software resources."
