=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:09.830] [R1] started
[22:43:09.830] [R1] read: "Initial string content."
[22:43:09.830] [R2] started
[22:43:09.830] [R2] read: "Initial string content."
[22:43:09.830] [R3] started
[22:43:09.830] [R3] read: "Initial string content."
[22:43:09.830] [R4] started
[22:43:09.830] [R4] read: "Initial string content."
[22:43:09.830] [R5] started
[22:43:09.830] [R5] read: "Initial string content."
[22:43:09.830] [W1] started
[22:43:09.830] [W1] wrote: "A"
[22:43:09.830] [W2] started
[22:43:09.830] [W2] wrote: "A"
[22:43:09.830] [W3] started
[22:43:09.830] [W3] wrote: "A"
[22:43:09.830] [W4] started
[22:43:09.830] [W4] wrote: "A"
[22:43:09.830] [W5] started
[22:43:09.830] [W5] wrote: "A"
[22:43:09.830] [W6] started
[22:43:09.830] [W6] wrote: "A"
[22:43:09.830] [W7] started
[22:43:09.830] [W7] wrote: "A"
[22:43:09.830] [W8] started
[22:43:09.830] [W8] wrote: "A"
[22:43:09.854] [R4] read: "A"
[22:43:09.861] [R3] read: "A"
[22:43:09.862] [W7] wrote: "Hello World!"
[22:43:09.866] [R5] read: "Hello World!"
[22:43:09.870] [W1] wrote: "Hello World!"
[22:43:09.872] [R2] read: "Hello World!"
[22:43:09.875] [W5] wrote: "Hello World!"
[22:43:09.879] [W4] wrote: "Hello World!"
[22:43:09.886] [W2] wrote: "Hello World!"
[22:43:09.888] [R1] read: "Hello World!"
[22:43:09.891] [R3] read: "Hello World!"
[22:43:09.896] [R4] read: "Hello World!"
[22:43:09.899] [W8] wrote: "Hello World!"
[22:43:09.907] [R5] read: "Hello World!"
[22:43:09.909] [W6] wrote: "Hello World!"
[22:43:09.911] [R2] read: "Hello World!"
[22:43:09.916] [R4] read: "Hello World!"
[22:43:09.927] [W3] wrote: "Hello World!"
[22:43:09.940] [R1] read: "Hello World!"
[22:43:09.940] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.945] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.946] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:09.952] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:09.955] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.960] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.960] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:09.964] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:09.965] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.969] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.970] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:09.989] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:09.998] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:09.999] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:10.000] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:10.005] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:10.005] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:10.007] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:10.019] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:10.019] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:10.034] [R1] read: "Operating systems manage hardware and software resources."
[22:43:10.035] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:10.039] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:10.039] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:10.040] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:10.043] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:10.044] [R5] read: "Operating systems manage hardware and software resources."
[22:43:10.046] [R2] read: "Operating systems manage hardware and software resources."
[22:43:10.048] [R3] read: "Operating systems manage hardware and software resources."
[22:43:10.057] [R4] read: "Operating systems manage hardware and software resources."
[22:43:10.060] [W2] wrote: "X"
[22:43:10.068] [W5] wrote: "X"
[22:43:10.074] [R1] read: "X"
[22:43:10.074] [W8] wrote: "X"
[22:43:10.074] [W7] wrote: "X"
[22:43:10.081] [W3] wrote: "X"
[22:43:10.081] [W4] wrote: "X"
[22:43:10.090] [R5] read: "X"
[22:43:10.102] [R3] read: "X"
[22:43:10.103] [R4] read: "X"
[22:43:10.103] [R2] read: "X"
[22:43:10.120] [W1] wrote: "X"
[22:43:10.125] [R3] read: "X"
[22:43:10.127] [R1] read: "X"
[22:43:10.127] [R5] read: "X"
[22:43:10.133] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.134] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.136] [W6] wrote: "X"
[22:43:10.144] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.148] [R4] read: "Synchronization prevents race conditions in concurrent programs."
